"Disease > Name","Disease > Identifier","Disease > Genes > Standard Name","Disease > Genes > Name","Disease > Genes > Primary DBID","Disease > Genes > Cross References > Identifier","Disease > Genes > Homologues > Homologue > Standard Name","Disease > Genes > Homologues > Homologue > Systematic Name","Disease > Genes > Homologues > Homologue > Name","Disease > Genes > Homologues > Data Sets > Data Source > Name"
"BREAST CANCER ","114480","AKT1","v-akt murine thymoma viral oncogene homolog 1","207","164730","PKC1","YBL105C","Protein Kinase C","TreeFam"
"BREAST CANCER ","114480","AKT1","v-akt murine thymoma viral oncogene homolog 1","207","164730","SCH9","YHR205W","","Panther"
"COLORECTAL CANCER; CRC ","114500","AKT1","v-akt murine thymoma viral oncogene homolog 1","207","164730","PKC1","YBL105C","Protein Kinase C","TreeFam"
"COLORECTAL CANCER; CRC ","114500","AKT1","v-akt murine thymoma viral oncogene homolog 1","207","164730","SCH9","YHR205W","","Panther"
"COWDEN SYNDROME 6; CWS6 ","615109","AKT1","v-akt murine thymoma viral oncogene homolog 1","207","164730","PKC1","YBL105C","Protein Kinase C","TreeFam"
"COWDEN SYNDROME 6; CWS6 ","615109","AKT1","v-akt murine thymoma viral oncogene homolog 1","207","164730","SCH9","YHR205W","","Panther"
"OVARIAN CANCER OVARIAN CANCER, EPITHELIAL, INCLUDED ","167000","AKT1","v-akt murine thymoma viral oncogene homolog 1","207","164730","PKC1","YBL105C","Protein Kinase C","TreeFam"
"OVARIAN CANCER OVARIAN CANCER, EPITHELIAL, INCLUDED ","167000","AKT1","v-akt murine thymoma viral oncogene homolog 1","207","164730","SCH9","YHR205W","","Panther"
"PROTEUS SYNDROME ","176920","AKT1","v-akt murine thymoma viral oncogene homolog 1","207","164730","PKC1","YBL105C","Protein Kinase C","TreeFam"
"PROTEUS SYNDROME ","176920","AKT1","v-akt murine thymoma viral oncogene homolog 1","207","164730","SCH9","YHR205W","","Panther"
"SCHIZOPHRENIA; SCZD ","181500","AKT1","v-akt murine thymoma viral oncogene homolog 1","207","164730","PKC1","YBL105C","Protein Kinase C","TreeFam"
"SCHIZOPHRENIA; SCZD ","181500","AKT1","v-akt murine thymoma viral oncogene homolog 1","207","164730","SCH9","YHR205W","","Panther"
"TRICHOTHIODYSTROPHY, PHOTOSENSITIVE; TTDP ICHTHYOSIFORM ERYTHRODERMA WITH HAIR ABNORMALITY AND MENTAL AND GROWTH RETARDATION, INCLUDED","601675","ERCC3","excision repair cross-complementing rodent repair deficiency, complementation group 3","2071","133510","SSL2","YIL143C","Suppressor of Stem-Loop mutation","Ensembl"
"TRICHOTHIODYSTROPHY, PHOTOSENSITIVE; TTDP ICHTHYOSIFORM ERYTHRODERMA WITH HAIR ABNORMALITY AND MENTAL AND GROWTH RETARDATION, INCLUDED","601675","ERCC3","excision repair cross-complementing rodent repair deficiency, complementation group 3","2071","133510","SSL2","YIL143C","Suppressor of Stem-Loop mutation","HomoloGene"
"TRICHOTHIODYSTROPHY, PHOTOSENSITIVE; TTDP ICHTHYOSIFORM ERYTHRODERMA WITH HAIR ABNORMALITY AND MENTAL AND GROWTH RETARDATION, INCLUDED","601675","ERCC3","excision repair cross-complementing rodent repair deficiency, complementation group 3","2071","133510","SSL2","YIL143C","Suppressor of Stem-Loop mutation","Panther"
"TRICHOTHIODYSTROPHY, PHOTOSENSITIVE; TTDP ICHTHYOSIFORM ERYTHRODERMA WITH HAIR ABNORMALITY AND MENTAL AND GROWTH RETARDATION, INCLUDED","601675","ERCC3","excision repair cross-complementing rodent repair deficiency, complementation group 3","2071","133510","SSL2","YIL143C","Suppressor of Stem-Loop mutation","TreeFam"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP B; XPB ","610651","ERCC3","excision repair cross-complementing rodent repair deficiency, complementation group 3","2071","133510","SSL2","YIL143C","Suppressor of Stem-Loop mutation","Ensembl"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP B; XPB ","610651","ERCC3","excision repair cross-complementing rodent repair deficiency, complementation group 3","2071","133510","SSL2","YIL143C","Suppressor of Stem-Loop mutation","HomoloGene"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP B; XPB ","610651","ERCC3","excision repair cross-complementing rodent repair deficiency, complementation group 3","2071","133510","SSL2","YIL143C","Suppressor of Stem-Loop mutation","Panther"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP B; XPB ","610651","ERCC3","excision repair cross-complementing rodent repair deficiency, complementation group 3","2071","133510","SSL2","YIL143C","Suppressor of Stem-Loop mutation","TreeFam"
"FANCONI ANEMIA, COMPLEMENTATION GROUP Q; FANCQ ","615272","ERCC4","excision repair cross-complementing rodent repair deficiency, complementation group 4","2072","133520","RAD1","YPL022W","RADiation sensitive","Ensembl"
"FANCONI ANEMIA, COMPLEMENTATION GROUP Q; FANCQ ","615272","ERCC4","excision repair cross-complementing rodent repair deficiency, complementation group 4","2072","133520","RAD1","YPL022W","RADiation sensitive","HomoloGene"
"FANCONI ANEMIA, COMPLEMENTATION GROUP Q; FANCQ ","615272","ERCC4","excision repair cross-complementing rodent repair deficiency, complementation group 4","2072","133520","RAD1","YPL022W","RADiation sensitive","Panther"
"FANCONI ANEMIA, COMPLEMENTATION GROUP Q; FANCQ ","615272","ERCC4","excision repair cross-complementing rodent repair deficiency, complementation group 4","2072","133520","RAD1","YPL022W","RADiation sensitive","TreeFam"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP F; XPF ","278760","ERCC4","excision repair cross-complementing rodent repair deficiency, complementation group 4","2072","133520","RAD1","YPL022W","RADiation sensitive","Ensembl"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP F; XPF ","278760","ERCC4","excision repair cross-complementing rodent repair deficiency, complementation group 4","2072","133520","RAD1","YPL022W","RADiation sensitive","HomoloGene"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP F; XPF ","278760","ERCC4","excision repair cross-complementing rodent repair deficiency, complementation group 4","2072","133520","RAD1","YPL022W","RADiation sensitive","Panther"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP F; XPF ","278760","ERCC4","excision repair cross-complementing rodent repair deficiency, complementation group 4","2072","133520","RAD1","YPL022W","RADiation sensitive","TreeFam"
"XFE PROGEROID SYNDROME ","610965","ERCC4","excision repair cross-complementing rodent repair deficiency, complementation group 4","2072","133520","RAD1","YPL022W","RADiation sensitive","Ensembl"
"XFE PROGEROID SYNDROME ","610965","ERCC4","excision repair cross-complementing rodent repair deficiency, complementation group 4","2072","133520","RAD1","YPL022W","RADiation sensitive","HomoloGene"
"XFE PROGEROID SYNDROME ","610965","ERCC4","excision repair cross-complementing rodent repair deficiency, complementation group 4","2072","133520","RAD1","YPL022W","RADiation sensitive","Panther"
"XFE PROGEROID SYNDROME ","610965","ERCC4","excision repair cross-complementing rodent repair deficiency, complementation group 4","2072","133520","RAD1","YPL022W","RADiation sensitive","TreeFam"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP G; XPG ","278780","ERCC5","excision repair cross-complementing rodent repair deficiency, complementation group 5","2073","133530","RAD2","YGR258C","RADiation sensitivity","Ensembl"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP G; XPG ","278780","ERCC5","excision repair cross-complementing rodent repair deficiency, complementation group 5","2073","133530","RAD2","YGR258C","RADiation sensitivity","HomoloGene"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP G; XPG ","278780","ERCC5","excision repair cross-complementing rodent repair deficiency, complementation group 5","2073","133530","RAD2","YGR258C","RADiation sensitivity","Panther"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP G; XPG ","278780","ERCC5","excision repair cross-complementing rodent repair deficiency, complementation group 5","2073","133530","RAD2","YGR258C","RADiation sensitivity","TreeFam"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP G; XPG ","278780","ERCC5","excision repair cross-complementing rodent repair deficiency, complementation group 5","2073","133530","YEN1","YER041W","","Panther"
"CEREBROOCULOFACIOSKELETAL SYNDROME 1; COFS1 ","214150","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","Ensembl"
"CEREBROOCULOFACIOSKELETAL SYNDROME 1; COFS1 ","214150","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","HomoloGene"
"CEREBROOCULOFACIOSKELETAL SYNDROME 1; COFS1 ","214150","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","Panther"
"CEREBROOCULOFACIOSKELETAL SYNDROME 1; COFS1 ","214150","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","TreeFam"
"COCKAYNE SYNDROME B; CSB ","133540","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","Ensembl"
"COCKAYNE SYNDROME B; CSB ","133540","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","HomoloGene"
"COCKAYNE SYNDROME B; CSB ","133540","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","Panther"
"COCKAYNE SYNDROME B; CSB ","133540","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","TreeFam"
"DE SANCTIS-CACCHIONE SYNDROME ","278800","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","Ensembl"
"DE SANCTIS-CACCHIONE SYNDROME ","278800","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","HomoloGene"
"DE SANCTIS-CACCHIONE SYNDROME ","278800","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","Panther"
"DE SANCTIS-CACCHIONE SYNDROME ","278800","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","TreeFam"
"LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED","211980","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","Ensembl"
"LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED","211980","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","HomoloGene"
"LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED","211980","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","Panther"
"LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED","211980","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","TreeFam"
"MACULAR DEGENERATION, AGE-RELATED, 5; ARMD5 ","613761","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","Ensembl"
"MACULAR DEGENERATION, AGE-RELATED, 5; ARMD5 ","613761","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","HomoloGene"
"MACULAR DEGENERATION, AGE-RELATED, 5; ARMD5 ","613761","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","Panther"
"MACULAR DEGENERATION, AGE-RELATED, 5; ARMD5 ","613761","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","TreeFam"
"UV-SENSITIVE SYNDROME 1; UVSS1 ","600630","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","Ensembl"
"UV-SENSITIVE SYNDROME 1; UVSS1 ","600630","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","HomoloGene"
"UV-SENSITIVE SYNDROME 1; UVSS1 ","600630","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","Panther"
"UV-SENSITIVE SYNDROME 1; UVSS1 ","600630","ERCC6","excision repair cross-complementing rodent repair deficiency, complementation group 6","2074","609413","RAD26","YJR035W","RADiation sensitive","TreeFam"
"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM ","125853","AKT2","v-akt murine thymoma viral oncogene homolog 2","208","164731","PKC1","YBL105C","Protein Kinase C","TreeFam"
"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM ","125853","AKT2","v-akt murine thymoma viral oncogene homolog 2","208","164731","SCH9","YHR205W","","Panther"
"HYPOINSULINEMIC HYPOGLYCEMIA WITH HEMIHYPERTROPHY; HIHGHH ","240900","AKT2","v-akt murine thymoma viral oncogene homolog 2","208","164731","PKC1","YBL105C","Protein Kinase C","TreeFam"
"HYPOINSULINEMIC HYPOGLYCEMIA WITH HEMIHYPERTROPHY; HIHGHH ","240900","AKT2","v-akt murine thymoma viral oncogene homolog 2","208","164731","SCH9","YHR205W","","Panther"
"SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 3; SMDP3 ","610921","ABCA3","ATP-binding cassette, sub-family A (ABC1), member 3","21","601615","","YOL075C","","Ensembl"
"PORPHYRIA, ACUTE HEPATIC ","612740","ALAD","aminolevulinate dehydratase","210","125270","HEM2","YGL040C","HEMe biosynthesis","Ensembl"
"PORPHYRIA, ACUTE HEPATIC ","612740","ALAD","aminolevulinate dehydratase","210","125270","HEM2","YGL040C","HEMe biosynthesis","HomoloGene"
"PORPHYRIA, ACUTE HEPATIC ","612740","ALAD","aminolevulinate dehydratase","210","125270","HEM2","YGL040C","HEMe biosynthesis","Panther"
"PORPHYRIA, ACUTE HEPATIC ","612740","ALAD","aminolevulinate dehydratase","210","125270","HEM2","YGL040C","HEMe biosynthesis","TreeFam"
"MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD ","231680","ETFA","electron-transfer-flavoprotein, alpha polypeptide","2108","608053","AIM45","YPR004C","Altered Inheritance rate of Mitochondria","Ensembl"
"MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD ","231680","ETFA","electron-transfer-flavoprotein, alpha polypeptide","2108","608053","AIM45","YPR004C","Altered Inheritance rate of Mitochondria","HomoloGene"
"MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD ","231680","ETFA","electron-transfer-flavoprotein, alpha polypeptide","2108","608053","AIM45","YPR004C","Altered Inheritance rate of Mitochondria","Panther"
"MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD ","231680","ETFA","electron-transfer-flavoprotein, alpha polypeptide","2108","608053","AIM45","YPR004C","Altered Inheritance rate of Mitochondria","TreeFam"
"MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD ","231680","ETFB","electron-transfer-flavoprotein, beta polypeptide","2109","130410","CIR1","YGR207C","Changed Intracellular Redox state","Ensembl"
"MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD ","231680","ETFB","electron-transfer-flavoprotein, beta polypeptide","2109","130410","CIR1","YGR207C","Changed Intracellular Redox state","HomoloGene"
"MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD ","231680","ETFB","electron-transfer-flavoprotein, beta polypeptide","2109","130410","CIR1","YGR207C","Changed Intracellular Redox state","Panther"
"MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD ","231680","ETFB","electron-transfer-flavoprotein, beta polypeptide","2109","130410","CIR1","YGR207C","Changed Intracellular Redox state","TreeFam"
"MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD ","231680","ETFDH","electron-transferring-flavoprotein dehydrogenase","2110","231675","CIR2","YOR356W","Changed Intracellular Redox state","Ensembl"
"MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD ","231680","ETFDH","electron-transferring-flavoprotein dehydrogenase","2110","231675","CIR2","YOR356W","Changed Intracellular Redox state","HomoloGene"
"MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD ","231680","ETFDH","electron-transferring-flavoprotein dehydrogenase","2110","231675","CIR2","YOR356W","Changed Intracellular Redox state","Panther"
"MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD ","231680","ETFDH","electron-transferring-flavoprotein dehydrogenase","2110","231675","CIR2","YOR356W","Changed Intracellular Redox state","TreeFam"
"ANEMIA, SIDEROBLASTIC, X-LINKED; XLSA ","300751","ALAS2","aminolevulinate, delta-, synthase 2","212","301300","HEM1","YDR232W","HEMe biosynthesis","Ensembl"
"ANEMIA, SIDEROBLASTIC, X-LINKED; XLSA ","300751","ALAS2","aminolevulinate, delta-, synthase 2","212","301300","HEM1","YDR232W","HEMe biosynthesis","HomoloGene"
"ANEMIA, SIDEROBLASTIC, X-LINKED; XLSA ","300751","ALAS2","aminolevulinate, delta-, synthase 2","212","301300","HEM1","YDR232W","HEMe biosynthesis","Panther"
"ANEMIA, SIDEROBLASTIC, X-LINKED; XLSA ","300751","ALAS2","aminolevulinate, delta-, synthase 2","212","301300","HEM1","YDR232W","HEMe biosynthesis","TreeFam"
"PROTOPORPHYRIA, ERYTHROPOIETIC, X-LINKED; XLEPP ","300752","ALAS2","aminolevulinate, delta-, synthase 2","212","301300","HEM1","YDR232W","HEMe biosynthesis","Ensembl"
"PROTOPORPHYRIA, ERYTHROPOIETIC, X-LINKED; XLEPP ","300752","ALAS2","aminolevulinate, delta-, synthase 2","212","301300","HEM1","YDR232W","HEMe biosynthesis","HomoloGene"
"PROTOPORPHYRIA, ERYTHROPOIETIC, X-LINKED; XLEPP ","300752","ALAS2","aminolevulinate, delta-, synthase 2","212","301300","HEM1","YDR232W","HEMe biosynthesis","Panther"
"PROTOPORPHYRIA, ERYTHROPOIETIC, X-LINKED; XLEPP ","300752","ALAS2","aminolevulinate, delta-, synthase 2","212","301300","HEM1","YDR232W","HEMe biosynthesis","TreeFam"
"EWING SARCOMA; ES NEUROEPITHELIOMA, PERIPHERAL, INCLUDED; PNE, INCLUDED","612219","EWSR1","EWS RNA-binding protein 1","2130","133450","GAR1","YHR089C","","Ensembl"
"WEAVER SYNDROME; WVS ","277590","EZH2","enhancer of zeste homolog 2 (Drosophila)","2146","601573","SET1","YHR119W","SET domain-containing","Ensembl"
"ADRENOLEUKODYSTROPHY; ALD ","300100","ABCD1","ATP-binding cassette, sub-family D (ALD), member 1","215","300371","PXA1","YPL147W","PeroXisomal ABC-transporter","Ensembl"
"ADRENOLEUKODYSTROPHY; ALD ","300100","ABCD1","ATP-binding cassette, sub-family D (ALD), member 1","215","300371","PXA1","YPL147W","PeroXisomal ABC-transporter","Panther"
"ADRENOLEUKODYSTROPHY; ALD ","300100","ABCD1","ATP-binding cassette, sub-family D (ALD), member 1","215","300371","PXA1","YPL147W","PeroXisomal ABC-transporter","TreeFam"
"ADRENOLEUKODYSTROPHY; ALD ","300100","ABCD1","ATP-binding cassette, sub-family D (ALD), member 1","215","300371","PXA2","YKL188C","PeroXisomal ABC-transporter","Panther"
"ADRENOLEUKODYSTROPHY; ALD ","300100","ABCD1","ATP-binding cassette, sub-family D (ALD), member 1","215","300371","PXA2","YKL188C","PeroXisomal ABC-transporter","TreeFam"
"POLYSUBSTANCE ABUSE, SUSCEPTIBILITY TO; PSAB ","606581","FAAH","fatty acid amide hydrolase","2166","602935","AMD2","YDR242W","AMiDase","Ensembl"
"POLYSUBSTANCE ABUSE, SUSCEPTIBILITY TO; PSAB ","606581","FAAH","fatty acid amide hydrolase","2166","602935","AMD2","YDR242W","AMiDase","Panther"
"POLYSUBSTANCE ABUSE, SUSCEPTIBILITY TO; PSAB ","606581","FAAH","fatty acid amide hydrolase","2166","602935","AMD2","YDR242W","AMiDase","TreeFam"
"ALCOHOL SENSITIVITY, ACUTE HANGOVER, SUSCEPTIBILITY TO, INCLUDED ","610251","ALDH2","aldehyde dehydrogenase 2 family (mitochondrial)","217","100650","ALD2","YMR170C","ALdehyde Dehydrogenase","TreeFam"
"ALCOHOL SENSITIVITY, ACUTE HANGOVER, SUSCEPTIBILITY TO, INCLUDED ","610251","ALDH2","aldehyde dehydrogenase 2 family (mitochondrial)","217","100650","ALD3","YMR169C","ALdehyde Dehydrogenase","TreeFam"
